ITEM_LRDV_NM,ITEM_MDDV_NM,ITEM_SMDV_NM,item_count
과자,초콜릿,행사상품,2640
빵,간식빵,과자빵,2198
과자,캔디류,행사상품,2007
냉동,신선냉동,선물세트,1752
미반,삼각김밥,삼각김밥,1615
신선,과일,과일선물세트,1455
양주와인,와인,레드,1377
과자,비스킷류,크래커,1372
가공식품,선물세트,선물세트,1368
조리빵,샌드위치,샌드위치,1345
미반,도시락,도시락,1339
과자,스낵류,옥수수스낵,1220
과자,비스킷류,시리얼,1196
과자,비스킷류,행사상품,1186
건강/기호식품,선물세트,홍삼세트,1181
과자,비스킷류,쿠키,1098
과자,스낵류,일반스낵,1026
조미료/건물,선물세트,건물세트,1018
신선,과일,국산과일,1013
신선,과일,직배과일,996
아이스크림,노벨티,바,996
미반,도시락,기타,911
과자,캔디류,토이캔디,889
양주와인,양주,위스키,848
디저트,시즌케익,시즌케익,837
즉석음료,세븐카페,HOT,818
미반,김밥,말이김밥,721
건강/기호식품,선물세트,기호식품 세트,708
조리빵,햄버거,햄버거,706
과자,캔디류,소프트캔디,696
조미료/건물,선물세트,조미세트,695
과자,초콜릿,판초콜릿,685
조미료/건물,건해산물,농수산건물,666
과자,비스킷류,파이,663
과자,초콜릿,볼초콜릿,643
신선,과일,기타,634
냉장,냉장간식,선물세트,602
미반,김밥,트레이김밥,590
신선,수축산/계란,정육선물세트,578
안주,오징어,오징어,573
과자,스낵류,전통스낵,568
신선,야채,센터채소,544
즉석 식품,즉석조리,기타,542
가공식품,캔,기타캔,540
과자,스낵류,감자스낵,522
유음료,가공우유,기타,519
과자,캔디류,과일향캔디,514
과자,젤리류,수입젤리,513
양주와인,하이볼,국산하이볼,488
즉석음료,파우치,아이스커피,457
유음료,냉장주스,냉장주스(소),452
음료,주스,주스(중),451
빵,호빵,호빵,448
즉석음료,컨셉카페,기타,447
과자,캔디류,기능성캔디,443
아이스크림,노벨티,콘,441
양주와인,와인,화이트,433
냉장,냉장간편식,반찬/국탕류,430
빵,구움과자,구움과자,427
과자,비스킷류,알뜰절약상품,414
과자,비스킷류,스틱과자,406
과자,젤리류,국산젤리,401
맥주,수입맥주,캔맥주(중),400
즉석음료,세븐카페,ICE,392
즉석음료,파우치,아이스티,386
디저트,냉장베이커리,롤케익,386
즉석 식품,즉석조리,즉석라면,377
냉장,냉장간편식,김치/단무지,374
빵,간식빵,페스트리,372
냉장,냉장간편식,선물세트,372
면,봉지면,라면,362
과자,초콜릿,바초콜릿,358
디저트,떡,선물세트,347
면,용기면,라면(대형컵),343
전통주,막걸리,생막걸리,336
빵,간식빵,캐릭터빵,335
아이스크림,노벨티,펜슬,334
조리빵,샌드위치,기타,333
음료,주스,주스(소병),327
냉장,냉장간식,햄/비엔나,318
냉장,(구)과일야채,과일,318
유음료,두유,병두유,317
즉석음료,컨셉카페,구슬아이스크림,306
과자,캔디류,봉지캔디,299
건강/기호식품,커피,믹스커피,297
냉장,냉장간편식,냉장면,297
아이스크림,노벨티,모나카,291
과자,껌,스틱껌,291
아이스크림,고급,파인트,290
건강/기호식품,차,티백차류,290
조미료/건물,소스류,양념장/조리소스,282
과자,껌,풍선껌,281
음료,기능성드링크,건강음료,280
빵,간식빵,간식용케익,277
즉석 식품,즉석치킨,기타류,272
조미료/건물,식용유지,식용유,271
아이스크림,노벨티,컵,268
유음료,요구르트,기능성요구르트,267
냉장,냉장간식,소형바,267
유음료,컵커피,300ml 미만,265
면,봉지면,비빔/볶음면,264
안주,너트류,봉지너트,259
디저트,떡,떡,252
미반,삼각김밥,기타주먹밥(더커진삼각),244
디저트,냉장베이커리,냉장빵,238
신선,야채,직배채소,235
신선,쌀/잡곡,곡물선물세트,234
건강/기호식품,선물세트,영양제 세트,229
전통주,소주,병소주,228
음료,선물세트,주스선물세트,227
가공식품,가공미반류,죽,223
가공식품,캔,농산캔,222
전통주,선물세트,일반선물세트,220
음료,차음료,기타차,218
음료,커피음료,캔커피(일반),213
면,용기면,비빔/볶음면,211
유음료,요구르트,떠먹는요구르트,210
음료,탄산음료,과일향탄산(소),209
신선,과일,수입과일,206
음료,탄산음료,과일향탄산(중),206
냉동,조리냉동,냉동간식류,202
미반,푸드 간편식,조리면,197
유음료,유제품,치즈,195
아이스크림,고급,컵,193
양주와인,리쿼,리쿼,193
음료,전통음료,전통음료(소),192
과자,초콜릿,봉지초콜릿,190
가공식품,캔,육가공캔,187
가공식품,상온간편식,레토르트 국탕찌개,187
건강/기호식품,차,액상차류,186
조미료/건물,소스류,홍초,184
빵,간식빵,조리빵,183
빵,프리미엄,직납빵,181
냉동,냉동만두,봉지만두,181
미반,샐러드,채소샐러드,181
안주,기타,모듬안주,180
가공식품,캔,참치캔,178
유음료,두유,팩두유,177
안주,오징어,오징어(대),176
냉동,냉동간편식,냉동밀키트,175
디저트,냉장베이커리,조각케익,174
안주,육포,육포,172
간식,냉장피자,냉장피자,171
조미료/건물,장류,장,168
전통주,기타전통주,기타,168
신선,수축산/계란,계란,165
신선,야채,두부/콩나물,163
과자,껌,용기껌,163
양주와인,와인,스파클링(샴페인),162
건강/기호식품,건강/이너뷰티,일반건강식품,159
디저트,떡,직납떡,158
디저트,젤리,떠먹는젤리,157
빵,프리미엄,베이커리,155
면,용기면,라면(소형컵),155
유음료,요구르트,드링킹요구르트,154
