ITEM_LRDV_NM,(구)과일야채,가공과일,가공미반류,가공우유,간식빵,건강/이너뷰티,건해산물,고급,과일,구움과자,국산맥주,기능성드링크,기능성우유,기타,기타음료_삭제예정,기타전통주,김밥,껌,냉동간편식,냉동디저트,냉동만두,냉장간식,냉장간편식,냉장베이커리,냉장안주,냉장주스,냉장피자,너트류,노벨티,농산안주,도시락,두유,떡,리쿼,막걸리,무알콜맥주,봉지면,분말가루,비스킷류,삼각김밥,상온간편식,샌드위치,샐러드,샐러드(삭제예정),샐러드모닝랩,생맥주,생선류,생수,선물세트,세븐카페,소스류,소주,수입맥주,수축산/계란,숙취해소제,스낵류,스낵안주,스포츠음료,시즌케익,식빵,식용유지,신선냉동,쌀/잡곡,야채,양주,얼음,오징어,와인,요구르트,용기면,원컵,유제품,육포,장류,전자렌지용찐빵,전통음료,젤리,젤리류,조리냉동,조리면,조미료,주스,즉석간식,즉석조리,즉석치킨,즉석치킨(삭제예정),쨈/꿀,차,차음료,초밥류,초콜릿,캔,캔디류,커피,커피음료,컨셉카페,컵커피,탄산음료,파우치,팝콘,푸드 간편식,프로틴 음료,프로틴/시리얼,프리미엄,하이볼,햄버거,호빵,홈타입,흰우유
가공식품,0,0,604,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
간식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
건강/기호식품,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,625,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
과자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,4588,0,4848,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0
냉동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,47,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
냉장,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743,1780,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
디저트,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,899,0,0,0,0,0,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
맥주,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,10,0,0,125,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
면,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
미반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,2375,0,0,0,0,0,0,0,0,1876,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0
