ITEM_SMDV_NM,mapped_m_count
기타,21
선물세트,6
행사상품,4
정온TEST,3
컵,2
숙면/건면,2
과일,2
일반스낵,2
시리얼,2
알뜰절약상품,2
냉동간식류,2
원두커피,2
어육스낵,2
믹스커피,2
병맥주,2
캔맥주(소),2
캔맥주(중),2
조리면,2
바,2
비빔/볶음면,2
육포(대),1
위스키,1
유부초밥,1
유산균음료,1
육가공안주,1
용기껌,1
옥수수차,1
육가공캔,1
육포,1
1000ml이상,1
이너뷰티,1
일반건강식품,1
조미세트,1
조리샐러드(삭제예정),1
조리샐러드,1
조리빵,1
조각케익,1
조각류,1
젤리제형,1
제로탄산,1
정육선물세트,1
전통음료(중),1
전통음료(소),1
전통음료(대),1
전통스낵,1
전자렌지용찐빵,1
장,1
잡곡,1
옥수수스낵,1
일반선물세트,1
영양제 세트,1
오징어(중),1
수제맥주,1
스포츠음료(소),1
스포츠음료(대),1
스파클링(샴페인),1
스틱껌,1
스틱과자,1
스무디,1
숙취해소음료,1
수입하이볼,1
슬러피_삭제예정,1
수입젤리,1
수입과일,1
수산캔,1
수산안주,1
수산물,1
수산,1
소형바,1
스포츠음료(중),1
시즌케익,1
오징어(대),1
양념장/조리소스,1
오징어,1
주스(대),1
영양식품(비타민),1
영양바류,1
에너지음료,1
어묵,1
어린이초콜릿,1
약주,1
식빵,1
액상차류,1
안주/반찬,1
아이스티,1
아이스커피,1
쌀가공식,1
식초류,1
식용유,1
족발/순대,1
주스선물세트,1
주스(소병),1
페트소주,1
팩두유,1
팝콘,1
판초콜릿,1
파인트,1
파이,1
파스타/그라탕,1
티백차류,1
트레이만두,1
트레이김밥,1
토이캔디,1
토스트샌드,1
택배선물세트,1
탄산수,1
크래커,1
쿠키,1
콜라(중),1
콜라(소),1
페스트리,1
펜슬,1
콘,1
푸딩,1
흰우유(소),1
흰우유(대),1
환제형,1
환자식,1
화이트,1
홍초,1
홍차,1
홍삼음료,1
홍삼세트,1
혼합식빵,1
호빵,1
햄버거,1
햄/비엔나,1
핫초코,1
핫도그/머핀,1
프리미엄생수,1
풍선껌,1
콜라(대),1
코코아,1
주스(소캔),1
채소가공품,1
참기름,1
쨈,1
직배채소,1
직배과일,1
직납빵,1
직납떡,1
증류식소주,1
즉석피자,1
즉석컵밥,1
즉석밥,1
즉석라면,1
즉석 국/스프,1
쥐포,1
중국/일본주,1
죽,1
소프트캔디,1
주스(중),1
참치캔,1
채소샐러드,1
케익,1
채소샐러드(삭제예정),1
케이스껌,1
컵얼음,1
커피우유,1
커피분말,1
커피관련용품,1
캔커피(일반),1
캔커피(보틀),1
캔맥주(대),1
캔너트,1
캐릭터빵,1
카톤,1
치킨안주,1
치즈,1
축산,1
초코우유,1
초밥,1
청주,1
소프트콘_삭제예정,1
소금,1
소프트,1
냉동떡,1
냉동과일,1
꿀,1
꼬치류,1
김치/단무지,1
김스낵,1
기호식품 세트,1
기타캔,1
기타차,1
기타주먹밥(더커진삼각),1
기타제형,1
기타와인,1
기타양주,1
기타류_삭제예정,1
기타류,1
기타 (삭제예정),1
기능성캔디,1
기능성우유(중),1
냉동기타,1
냉동면,1
기능성 음료,1
냉동밀키트,1
냉장죽,1
냉장주스(중),1
냉장주스(소),1
냉장주스(대),1
냉장빵,1
냉장밥,1
냉장면,1
냉장떡볶이,1
냉장과자,1
냉장간식,1
냉장 프로틴,1
냉동축산,1
냉동안주류,1
냉동수산,1
냉동생지,1
냉동빵,1
냉동밥,1
기능성요구르트,1
기능성 우유,1
소품,1
건물세트,1
건면,1
건강음료,1
건강기능식품,1
감자스낵,1
간편과일,1
간장,1
간식용케익,1
간식/소시지,1
가공과일,1
PET커피,1
PET맥주,1
ICE,1
HOT,1
500ml이하,1
300ml 이상,1
300ml 미만,1
250ml 이상,1
건물/견과류,1
걸프/슬러피,1
군고구마,1
걸프_삭제예정,1
국산하이볼,1
국산차,1
국산젤리,1
국산과일,1
구움과자,1
구슬아이스크림,1
구슬아이스,1
과자빵,1
과일향탄산(중),1
과일향탄산(소),1
과일향탄산(대),1
과일향캔디,1
과일선물세트,1
과일도시락,1
과실주,1
곡물선물세트,1
계란,1
냉장피자,1
녹차,1
농산물,1
사이다(소),1
빅바이트,1
비타민음료,1
브리또,1
브랜디,1
분말차류,1
봉지캔디,1
봉지초콜릿,1
봉지얼음,1
봉지만두,1
봉지너트,1
볼초콜릿,1
복합조미료/향신료,1
보리차,1
병커피,1
병소주,1
병두유,1
베이커리,1
사이다(대),1
사이다(중),1
농산캔,1
살균막걸리,1
소스/양념류,1
소스,1
250ml 미만,1
센터채소,1
세트류_삭제예정,1
세트류,1
설탕,1
생맥주20L,1
생맥주,1
생막걸리,1
생과자,1
샐러드랩,1
샌드위치,1
샌드빵,1
상시택배상품,1
삼각김밥,1
삶은계란,1
버터,1
백미,1
반찬/국탕류,1
바초콜릿,1
레드,1
라면(소형컵),1
라면(대형컵),1
라면,1
떡,1
떠먹는젤리,1
떠먹는요구르트,1
딸기우유,1
드링킹요구르트,1
드레싱/디핑소스,1
두유선물세트,1
두부/콩나물,1
도시락,1
도너츠,1
대용량얼음,1
대용량구움과자,1
농수산건물,1
레토르트 국탕찌개,1
레토르트 반찬/간식/안주,1
레토르트 소스/분말,1
모닝빵샌드,1
바나나우유,1
밀키트,1
밀가루/프리믹스,1
미니도시락,1
무알콜맥주(수입),1
무알콜맥주(국산),1
모듬안주,1
모나카,1
롤케익,1
멀티,1
맛살,1
말이김밥,1
만두,1
마시는젤리,1
마가린,1
리쿼,1
흰우유(중),1
