category,item_count,rank,cum_ratio
과자,21271,1,0.23031280790844225
신선,6758,2,0.30348538822179155
미반,6396,3,0.3727383955736977
빵,5191,4,0.42894420563682234
음료,4677,5,0.4795846551966824
건강/기호식품,4309,6,0.5262405664973959
냉장,4223,7,0.5719653085310263
양주와인,3981,8,0.6150697835572831
조미료/건물,3928,9,0.6576003984538259
유음료,3810,10,0.6988533624955336
가공식품,3800,11,0.7399980510410689
아이스크림,3461,12,0.7774722002663578
즉석음료,3169,13,0.8117847050034107
냉동,3127,14,0.8456424526565393
디저트,2911,15,0.8771614495923428
조리빵,2595,16,0.9052589408490964
안주,1928,17,0.926134456511147
즉석 식품,1707,18,0.9446170837077861
전통주,1669,19,0.9626882640189699
면,1534,20,0.9792977251318254
맥주,1347,21,0.9938824344662559
간식,556,22,0.9999025520534448
커피/차,9,23,1.0
