category,item_count,rank,cum_ratio
비스킷류,6335,1,0.06859252682525417
선물세트,6093,2,0.1345647866431348
캔디류,4848,3,0.18705674718754398
초콜릿,4588,4,0.2367335448314692
과일,4486,5,0.2853059324144353
간식빵,3634,6,0.3246532477235077
스낵류,3432,7,0.36181339800989637
도시락,2375,8,0.3875288283508559
노벨티,2357,9,0.413049362798705
와인,2088,10,0.4356572863995149
신선냉동,1975,11,0.457041696893576
삼각김밥,1876,12,0.47735417997552976
냉장간식,1823,13,0.4970928029277694
냉장간편식,1780,14,0.5163658412464676
샌드위치,1778,15,0.5356172244659311
김밥,1311,16,0.5498121420141407
캔,1215,17,0.5629676147990949
세븐카페,1210,18,0.5760689498359626
주스,1039,19,0.5873187738882814
양주,1038,20,0.5985577703909828
즉석조리,1009,21,0.6094827679547842
가공우유,987,22,0.620169559427006
야채,978,23,0.6307589029526728
컨셉카페,965,24,0.6412074883333153
젤리류,914,25,0.6511038686834782
고급,902,26,0.6608703184382343
냉장베이커리,899,27,0.6706042855441385
시즌케익,894,28,0.6802841149019565
껌,871,29,0.6897149106185779
파우치,863,30,0.6990590859382613
수축산/계란,850,31,0.7082625031129205
용기면,845,32,0.7174117825394934
햄버거,804,33,0.7261171324317593
오징어,791,34,0.734681724179001
떡,757,35,0.7428781792392564
기능성드링크,698,36,0.7504358088720942
봉지면,689,37,0.7578959905583768
탄산음료,688,38,0.7653453446950421
건해산물,666,39,0.7725564927401279
수입맥주,637,40,0.7794536418463137
소스류,632,41,0.7862966532044133
요구르트,631,42,0.7931288370128956
차,625,43,0.7998960555236745
하이볼,611,44,0.8065116883398118
가공미반류,604,45,0.8130515283086285
냉장주스,602,46,0.8195697131782106
상온간편식,590,47,0.8259579674523858
두유,578,48,0.8322162911311541
커피,569,49,0.8383771668633672
차음료,554,50,0.8443756293513215
구움과자,533,51,0.8501467132973137
국산맥주,531,52,0.8558961421440714
기타전통주,505,53,0.8613640547007807
호빵,504,54,0.8668211397078727
즉석치킨,495,55,0.8721807767684095
커피음료,476,56,0.8773346903862187
냉동간편식,471,57,0.8824344662559416
쌀/잡곡,444,58,0.8872418982859989
막걸리,406,59,0.8916378834306008
푸드 간편식,397,60,0.8959364206286475
컵커피,395,61,0.9002133027274597
원컵,387,62,0.904403564429334
소주,387,63,0.9085938261312082
냉장안주,382,64,0.9127299500849962
프리미엄,349,65,0.9165087649014152
생수,346,66,0.9202550970689823
식용유지,343,67,0.9239689465876978
건강/이너뷰티,323,68,0.9274662451140683
조리냉동,321,69,0.9309418885412042
(구)과일야채,318,70,0.9343850493194885
냉동만두,313,71,0.9377740723496866
젤리,302,72,0.9410439923340949
장류,302,73,0.9443139123185031
너트류,296,74,0.947518867005208
프로틴/시리얼,283,75,0.9505830635468887
전통음료,282,76,0.9536364325389521
샐러드,266,77,0.9565165607371395
스포츠음료,256,78,0.9592884134391546
냉장피자,237,79,0.961854542698442
유제품,231,80,0.9643557066600258
생선류,226,81,0.9668027328735234
흰우유,203,82,0.9690007254458244
기타,203,83,0.9711987180181253
홈타입,202,84,0.9733858830408091
즉석간식,201,85,0.9755622205138755
조미료,196,86,0.9776844202388557
리쿼,193,87,0.9797741373149842
숙취해소제,178,88,0.9817014411468541
육포,173,89,0.9835746072306376
초밥류,171,90,0.9854261182151868
식빵,169,91,0.9872559741005014
스낵안주,135,92,0.9887176932988295
농산안주,127,93,0.9900927921002198
샐러드(삭제예정),123,94,0.9914245807031411
조리면,116,95,0.9926805764587416
쨈/꿀,109,96,0.9938607793670214
얼음,107,97,0.9950193271760668
기능성우유,100,98,0.9961020821377914
프로틴 음료,83,99,0.9970007687560228
분말가루,67,100,0.9977262145803784
냉동디저트,63,101,0.9984083502062648
무알콜맥주,44,102,0.9988847623894237
가공과일,43,103,0.9993503470229652
기타음료_삭제예정,24,104,0.9996102082137791
샐러드모닝랩,13,105,0.9997509663588033
생맥주,10,106,0.9998592418549758
팝콘,9,107,0.999956689801531
전자렌지용찐빵,2,108,0.9999783449007655
즉석치킨(삭제예정),2,109,1.0
