category,item_count,rank,cum_ratio
행사상품,5909,1,0.06397999068830733
선물세트,4586,2,0.11363513323299804
기타,4176,3,0.15885098043461784
과자빵,2198,4,0.1826499344933248
삼각김밥,1615,5,0.2001364271251773
과일선물세트,1455,6,0.2158905118182704
레드,1377,7,0.2308000476412183
크래커,1372,8,0.24565544571608
샌드위치,1345,9,0.26021849995127605
도시락,1339,10,0.2747165888887686
시리얼,1228,11,0.2880128198187468
옥수수스낵,1220,12,0.3012224303517871
홍삼세트,1181,13,0.31400976644975476
일반스낵,1130,14,0.3262448975172429
바,1118,15,0.33835009798932403
쿠키,1098,16,0.35023874746906025
건물세트,1018,17,0.36126119297941683
국산과일,1013,18,0.37222950074168715
직배과일,996,19,0.3830137401604643
토이캔디,889,20,0.3926394317701961
위스키,848,21,0.4018211938456208
시즌케익,837,22,0.4108838528752558
HOT,818,23,0.4197407884621631
말이김밥,721,24,0.42754745173619757
기호식품 세트,708,25,0.43521335686520785
햄버거,706,26,0.4428576068949836
소프트캔디,696,27,0.4503935814285869
조미세트,695,28,0.457918728412573
판초콜릿,685,29,0.46533559990038653
농수산건물,666,30,0.47254674794547247
파이,663,31,0.47972541334170665
볼초콜릿,643,32,0.48668752774559587
트레이김밥,590,33,0.4930757820197711
정육선물세트,578,34,0.49933410569853937
오징어,573,35,0.5055382916292214
전통스낵,568,36,0.5116883398118172
센터채소,544,37,0.5175785268035991
기타캔,540,38,0.523425403596912
감자스낵,522,39,0.5290773844971145
과일향캔디,514,40,0.534642745000379
수입젤리,513,41,0.5401972779540263
알뜰절약상품,510,42,0.5457193282588217
캔맥주(중),510,43,0.5512413785636172
국산하이볼,488,44,0.5565252227768334
비빔/볶음면,475,45,0.5616683088450253
컵,461,46,0.5666598092185757
아이스커피,457,47,0.5716079993936573
냉장주스(소),452,48,0.5765020518206525
주스(중),451,49,0.5813852766980304
호빵,448,50,0.5862360189265567
믹스커피,448,51,0.591086761155083
기능성캔디,443,52,0.595883365635523
콘,441,53,0.6006583150167286
화이트,433,54,0.6053466440009961
반찬/국탕류,430,55,0.610002490336412
구움과자,427,56,0.6146258540229761
스틱과자,406,57,0.619021839167578
국산젤리,401,58,0.6233636865640937
ICE,392,59,0.6276080860140542
롤케익,386,60,0.6317875201663111
아이스티,386,61,0.6359669543185682
즉석라면,377,62,0.64004894052427
김치/단무지,374,63,0.64409844408112
페스트리,372,64,0.6481262925387355
과일,363,65,0.6520566930497959
라면,362,66,0.655976266011239
바초콜릿,358,67,0.6598525287742131
라면(대형컵),343,68,0.6635663782929285
생막걸리,336,69,0.6672044349643232
캐릭터빵,335,70,0.6708316640861006
펜슬,334,71,0.6744480656582609
주스(소병),327,72,0.6779886743831004
햄/비엔나,318,73,0.6814318351613846
병두유,317,74,0.6848641683900516
조리면,309,75,0.6882098812217807
구슬아이스크림,306,76,0.691523111404658
봉지캔디,299,77,0.6947605487402146
냉장면,297,78,0.6979763309765367
스틱껌,291,79,0.7011271479151553
모나카,291,80,0.7042779648537739
티백차류,290,81,0.7074179542427753
파인트,290,82,0.7105579436317767
양념장/조리소스,282,83,0.7136113126238401
풍선껌,281,84,0.7166538540662862
일반선물세트,280,85,0.7196855679591152
건강음료,280,86,0.7227172818519441
간식용케익,277,87,0.7257165130959212
기타류,272,88,0.7286616065918122
식용유,271,89,0.7315958725380859
기능성요구르트,267,90,0.7344868282858906
소형바,267,91,0.7373777840336954
300ml 미만,265,92,0.7402470846822655
봉지너트,259,93,0.7430514200331323
냉동간식류,254,94,0.7458016176359128
떡,252,95,0.7485301601394588
원두커피,246,96,0.7511937373453014
기타주먹밥(더커진삼각),244,97,0.7538356594519094
캔맥주(소),242,98,0.756455926459283
냉장빵,238,99,0.7590328832681876
직배채소,235,100,0.7615773574282404
곡물선물세트,234,101,0.764111004038676
영양제 세트,229,102,0.7665905129010254
병소주,228,103,0.7690591942137575
주스선물세트,227,104,0.7715170479768724
죽,223,105,0.7739315915415182
농산캔,222,106,0.7763353075565469
기타차,218,107,0.7786957133731065
병맥주,216,108,0.7810344640904316
캔커피(일반),213,109,0.7833407321589051
떠먹는요구르트,210,110,0.7856145175785268
과일향탄산(소),209,111,0.7878774754485313
수입과일,206,112,0.790107950669684
과일향탄산(중),206,113,0.7923384258908367
숙면/건면,199,114,0.7944931082646686
치즈,195,115,0.7966044804400316
리쿼,193,116,0.7986941975161601
전통음료(소),192,117,0.8007730870426714
봉지초콜릿,190,118,0.8028303214699481
레토르트 국탕찌개,187,119,0.8048550732483731
육가공캔,187,120,0.8068798250267982
액상차류,186,121,0.808893749255606
홍초,184,122,0.8108860183851793
조리빵,183,123,0.8128674599651353
채소샐러드,181,124,0.8148272464458568
