ITEM_LRDV_NM,ITEM_MDDV_NM,item_count
가공식품,가공미반류,604
가공식품,기타,23
가공식품,상온간편식,590
가공식품,선물세트,1368
가공식품,캔,1215
간식,냉장간식,80
간식,냉장피자,237
간식,샐러드(삭제예정),123
간식,조리면,116
건강/기호식품,건강/이너뷰티,323
건강/기호식품,선물세트,2118
건강/기호식품,숙취해소제,178
건강/기호식품,원컵,387
건강/기호식품,쨈/꿀,109
건강/기호식품,차,625
건강/기호식품,커피,569
과자,껌,871
과자,비스킷류,6335
과자,스낵류,3432
과자,젤리류,914
과자,초콜릿,4588
과자,캔디류,4848
과자,프로틴/시리얼,283
냉동,냉동간편식,471
냉동,냉동디저트,47
냉동,냉동만두,313
냉동,신선냉동,1975
냉동,조리냉동,321
냉장,(구)과일야채,318
냉장,냉장간식,1743
냉장,냉장간편식,1780
냉장,냉장안주,382
디저트,가공과일,43
디저트,냉동디저트,16
디저트,냉장베이커리,899
디저트,떡,757
디저트,시즌케익,894
디저트,젤리,302
맥주,국산맥주,531
맥주,무알콜맥주,44
맥주,생맥주,10
맥주,선물세트,125
맥주,수입맥주,637
면,봉지면,689
면,용기면,845
미반,김밥,1311
미반,도시락,2375
미반,삼각김밥,1876
미반,샐러드,266
미반,초밥류,171
미반,푸드 간편식,397
빵,간식빵,3634
빵,구움과자,533
빵,식빵,169
빵,전자렌지용찐빵,2
빵,프리미엄,349
빵,호빵,504
신선,과일,4486
신선,수축산/계란,850
신선,쌀/잡곡,444
신선,야채,978
아이스크림,고급,902
아이스크림,노벨티,2357
아이스크림,홈타입,202
안주,기타,180
안주,너트류,296
안주,농산안주,127
안주,생선류,226
안주,스낵안주,135
안주,오징어,791
안주,육포,173
양주와인,리쿼,193
양주와인,선물세트,51
양주와인,양주,1038
양주와인,와인,2088
양주와인,하이볼,611
유음료,가공우유,987
유음료,기능성우유,100
유음료,냉장주스,602
유음료,두유,578
유음료,요구르트,631
유음료,유제품,231
유음료,컵커피,395
유음료,프로틴 음료,83
유음료,흰우유,203
음료,기능성드링크,698
음료,생수,346
음료,선물세트,338
음료,스포츠음료,256
음료,전통음료,282
음료,주스,1039
음료,차음료,554
음료,커피음료,476
음료,탄산음료,688
전통주,기타전통주,505
전통주,막걸리,406
전통주,선물세트,371
전통주,소주,387
조리빵,샌드위치,1778
조리빵,샐러드모닝랩,13
조리빵,햄버거,804
조미료/건물,건해산물,666
조미료/건물,분말가루,67
조미료/건물,선물세트,1713
조미료/건물,소스류,632
조미료/건물,식용유지,343
조미료/건물,장류,302
조미료/건물,조미료,196
조미료/건물,팝콘,9
즉석 식품,즉석간식,201
즉석 식품,즉석조리,1009
즉석 식품,즉석치킨,495
즉석 식품,즉석치킨(삭제예정),2
즉석음료,기타음료_삭제예정,24
즉석음료,세븐카페,1210
즉석음료,얼음,107
즉석음료,컨셉카페,965
즉석음료,파우치,863
커피/차,선물세트,9
