ITEM_MDDV_NM,ITEM_SMDV_NM,item_count
(구)과일야채,과일,318
가공과일,과일도시락,43
가공미반류,쌀가공식,108
가공미반류,죽,223
가공미반류,즉석밥,129
가공미반류,즉석컵밥,144
가공우유,기타,519
가공우유,딸기우유,109
가공우유,바나나우유,99
가공우유,초코우유,131
가공우유,커피우유,129
간식빵,간식용케익,277
간식빵,과자빵,2198
간식빵,도너츠,115
간식빵,샌드빵,154
간식빵,조리빵,183
간식빵,캐릭터빵,335
간식빵,페스트리,372
건강/이너뷰티,건강기능식품,143
건강/이너뷰티,이너뷰티,21
건강/이너뷰티,일반건강식품,159
건해산물,농수산건물,666
고급,구슬아이스,29
고급,기타,116
고급,바,122
고급,컵,193
고급,케익,152
고급,파인트,290
과일,가공과일,28
과일,간편과일,73
과일,건물/견과류,81
과일,과일선물세트,1455
과일,국산과일,1013
과일,기타,634
과일,수입과일,206
과일,직배과일,996
구움과자,구움과자,427
구움과자,대용량구움과자,35
구움과자,생과자,71
국산맥주,PET맥주,53
국산맥주,병맥주,104
국산맥주,수제맥주,143
국산맥주,캔맥주(대),4
국산맥주,캔맥주(소),117
국산맥주,캔맥주(중),110
기능성드링크,건강음료,280
기능성드링크,비타민음료,133
기능성드링크,선물세트,20
기능성드링크,숙취해소음료,97
기능성드링크,에너지음료,98
기능성드링크,홍삼음료,70
기능성우유,기능성 우유,56
기능성우유,기능성 음료,37
기능성우유,기능성우유(중),7
기타,기타,23
기타,모듬안주,180
기타음료_삭제예정,걸프_삭제예정,1
기타음료_삭제예정,소프트콘_삭제예정,12
기타음료_삭제예정,슬러피_삭제예정,11
기타전통주,과실주,121
기타전통주,기타,168
기타전통주,약주,55
기타전통주,중국/일본주,106
기타전통주,청주,55
김밥,말이김밥,721
김밥,트레이김밥,590
껌,스틱껌,291
껌,용기껌,163
껌,케이스껌,136
껌,풍선껌,281
냉동간편식,냉동간식류,52
냉동간편식,냉동면,95
냉동간편식,냉동밀키트,175
냉동간편식,냉동밥,149
냉동디저트,냉동기타,4
냉동디저트,냉동떡,9
냉동디저트,냉동빵,50
냉동만두,봉지만두,181
냉동만두,트레이만두,132
냉장간식,간식/소시지,152
냉장간식,기타,115
냉장간식,냉장 프로틴,111
냉장간식,냉장간식,27
냉장간식,맛살,97
냉장간식,삶은계란,134
냉장간식,선물세트,602
냉장간식,소형바,267
냉장간식,햄/비엔나,318
냉장간편식,김치/단무지,374
냉장간편식,냉장떡볶이,79
냉장간편식,냉장면,297
냉장간편식,냉장밥,49
냉장간편식,냉장죽,50
냉장간편식,밀키트,25
냉장간편식,반찬/국탕류,430
냉장간편식,선물세트,372
냉장간편식,소스/양념류,104
냉장베이커리,냉장과자,101
냉장베이커리,냉장빵,238
냉장베이커리,롤케익,386
냉장베이커리,조각케익,174
냉장안주,수산안주,19
냉장안주,육가공안주,111
냉장안주,족발/순대,126
냉장안주,치킨안주,126
냉장주스,냉장주스(대),55
냉장주스,냉장주스(소),452
냉장주스,냉장주스(중),13
냉장주스,유산균음료,82
냉장피자,냉장피자,171
냉장피자,브리또,32
냉장피자,파스타/그라탕,34
너트류,봉지너트,259
너트류,캔너트,37
노벨티,기타,27
노벨티,모나카,291
노벨티,바,996
노벨티,컵,268
노벨티,콘,441
노벨티,펜슬,334
농산안주,과일,45
농산안주,농산물,82
도시락,기타,911
도시락,도시락,1339
도시락,미니도시락,118
도시락,정온TEST,7
두유,두유선물세트,84
두유,병두유,317
두유,팩두유,177
떡,떡,252
떡,선물세트,347
떡,직납떡,158
리쿼,리쿼,193
막걸리,살균막걸리,70
막걸리,생막걸리,336
무알콜맥주,무알콜맥주(국산),25
무알콜맥주,무알콜맥주(수입),19
봉지면,라면,362
봉지면,비빔/볶음면,264
봉지면,숙면/건면,63
분말가루,밀가루/프리믹스,67
비스킷류,스틱과자,406
비스킷류,시리얼,1196
비스킷류,알뜰절약상품,414
비스킷류,쿠키,1098
비스킷류,크래커,1372
비스킷류,파이,663
비스킷류,행사상품,1186
삼각김밥,기타주먹밥(더커진삼각),244
삼각김밥,삼각김밥,1615
삼각김밥,정온TEST,17
상온간편식,건면,50
상온간편식,레토르트 국탕찌개,187
상온간편식,레토르트 반찬/간식/안주,129
상온간편식,레토르트 소스/분말,111
상온간편식,즉석 국/스프,113
샌드위치,기타,333
샌드위치,샌드위치,1345
샌드위치,토스트샌드,100
샐러드,조리샐러드,85
샐러드,채소샐러드,181
샐러드(삭제예정),조리샐러드(삭제예정),75
샐러드(삭제예정),채소샐러드(삭제예정),48
샐러드모닝랩,모닝빵샌드,9
샐러드모닝랩,샐러드랩,4
생맥주,생맥주,7
생맥주,생맥주20L,3
생선류,수산물,97
생선류,어육스낵,73
생선류,쥐포,56
생수,1000ml이상,93
생수,500ml이하,141
생수,탄산수,72
생수,프리미엄생수,40
선물세트,건물세트,1018
선물세트,기타,111
선물세트,기호식품 세트,708
선물세트,선물세트,1493
선물세트,영양제 세트,229
선물세트,일반선물세트,280
선물세트,조미세트,695
선물세트,주스선물세트,227
선물세트,택배선물세트,151
선물세트,홍삼세트,1181
세븐카페,HOT,818
세븐카페,ICE,392
소스류,드레싱/디핑소스,96
소스류,소스,13
소스류,식초류,57
소스류,양념장/조리소스,282
소스류,홍초,184
소주,병소주,228
소주,증류식소주,70
소주,페트소주,89
수입맥주,병맥주,112
수입맥주,캔맥주(소),125
수입맥주,캔맥주(중),400
수축산/계란,계란,165
수축산/계란,수산,53
수축산/계란,정육선물세트,578
수축산/계란,축산,54
숙취해소제,기타제형,36
숙취해소제,젤리제형,48
숙취해소제,환제형,94
스낵류,감자스낵,522
스낵류,알뜰절약상품,96
스낵류,옥수수스낵,1220
스낵류,일반스낵,1026
스낵류,전통스낵,568
스낵안주,김스낵,28
스낵안주,어육스낵,3
스낵안주,일반스낵,104
스포츠음료,스포츠음료(대),14
스포츠음료,스포츠음료(소),91
스포츠음료,스포츠음료(중),151
시즌케익,기타,57
시즌케익,시즌케익,837
식빵,식빵,108
